Rank,Name,Points,Country
349,Not Available,146,esp
350,Not Available,145,ita
351,Not Available,145,bra
352,Not Available,144,aus
353,Not Available,144,ger
354,Not Available,144,ger
355,Not Available,144,cze
356,Not Available,143,rou
357,Not Available,143,ita
358,Not Available,142,gbr
359,Not Available,141,gbr
360,Not Available,141,cro
361,Not Available,141,usa
362,Not Available,140,jpn
363,Not Available,139,fra
364,Not Available,139,rou
365,Not Available,138,rus
366,Not Available,138,rsa
367,Not Available,137,gbr
368,Not Available,137,jpn
369,Not Available,136,chn
370,Not Available,136,aus
371,Not Available,136,cze
372,Not Available,135,kor
373,Not Available,135,arg
374,Not Available,134,rsa
375,Not Available,134,uru
376,Not Available,133,ukr
377,Not Available,133,lat
378,Not Available,133,arg
379,Not Available,131,rou
380,Not Available,130,bra
381,Not Available,130,ita
382,Not Available,128,gbr
383,Not Available,128,usa
384,Not Available,128,aut
385,Not Available,127,usa
386,Not Available,126,esp
387,Not Available,126,rus
388,Not Available,125,ita
389,Not Available,124,aus
390,Not Available,123,gbr
391,Not Available,122,usa
392,Not Available,122,usa
393,Not Available,122,aus
394,Not Available,121,blr
395,Not Available,121,est
396,Not Available,121,kor
397,Not Available,120,arg
398,Not Available,120,fra
399,Not Available,120,cze
400,Not Available,119,arg
401,Not Available,119,svk
402,Not Available,119,ned
403,Not Available,119,aus
404,Not Available,118,ger
405,Not Available,118,tha
406,Not Available,118,cze
407,Not Available,117,gbr
408,Not Available,117,usa
409,Not Available,117,esp
410,Not Available,117,arg
411,Not Available,117,arg
412,Not Available,116,gbr
413,Not Available,116,usa
414,Not Available,116,bih
415,Not Available,116,por
416,Not Available,115,ita
417,Not Available,115,ita
418,Not Available,114,bel
419,Not Available,114,rus
420,Not Available,114,ukr
421,Not Available,113,chn
422,Not Available,113,arg
423,Not Available,113,rus
424,Not Available,113,usa
425,Not Available,112,usa
426,Not Available,111,cro
427,Not Available,111,gbr
428,Not Available,111,usa
429,Not Available,111,ita
430,Not Available,110,esp
431,Not Available,110,aut
432,Not Available,109,ita
433,Not Available,109,svk
434,Not Available,108,esp
435,Not Available,108,fra
436,Not Available,108,svk
437,Not Available,108,jpn
438,Not Available,107,gbr
439,Not Available,106,ger
440,Not Available,106,ita
441,Not Available,105,ita
442,Not Available,104,geo
443,Not Available,102,cze
444,Not Available,102,ind
445,Not Available,102,srb
446,Not Available,101,fra
447,Not Available,100,can
448,Not Available,100,bul
449,Not Available,99,bra
450,Not Available,98,dom
451,Not Available,97,ind
452,Not Available,97,ita
453,Not Available,97,mex
454,Not Available,97,slo
455,Not Available,97,gre
456,Not Available,96,ger
457,Not Available,96,ned
458,Not Available,96,jpn
459,Not Available,96,ger
460,Not Available,95,ita
461,Not Available,95,fra
462,Not Available,94,por
463,Not Available,92,fra
464,Not Available,92,gbr
465,Not Available,92,rus
466,Not Available,91,arg
467,Not Available,90,nzl
468,Not Available,89,usa
469,Not Available,89,dom
470,Not Available,88,gbr
471,Not Available,88,arg
472,Not Available,88,geo
473,Not Available,87,bra
474,Not Available,87,can
475,Not Available,87,rus
476,Not Available,87,aus
477,Not Available,86,rou
478,Not Available,86,ita
479,Not Available,85,aut
480,Not Available,85,ger
481,Not Available,85,usa
