Nome,Dato1,Dato2,Dato3,...
244,3M. Soto,225,-
245,-25D. Popko,225,-
246,F. Misolic,224,-
247,-18N. Hardt,224,-
248,-7V. Durasovic,224,-
249,-10J. Wolf,221,-
250,8F. Ferreira Silva,220,-
251,-2S. Napolitano,219,-
252,-2O. Roca Batalla,219,-
253,S. Gueymard Wayenburg,219,-
254,A. Andrade,216,-
255,-3P. Martin Tiffon,216,-
256,8C. Rodesch,215,-
257,-6A. Guillen Meza,215,-
258,-2D. Yevseyev,215,-
259,58G. Den Ouden,213,-
260,-15G. Oliveira,213,-
261,-4E. Ymer,212,-
262,1M. Martineau,211,-
263,-8A. Pellegrino,210,-
264,6G. Bueno,210,-
265,-3V. Vacherot,208,-
266,Z. Piros,203,-
267,-2C. Sanchez Jover,203,-
268,-28C. Chidekh,203,-
269,L. Giustino,203,1
270,-3A. Shelbayh,201,-
271,-3R. Bertrand,201,-
272,12D. Stricker,199,-
273,-2M. Sharipov,197,-
274,-2J. Torres,197,-
275,-1K. Sell,195,2
276,32M. Houkes,193,-
277,-2F. Sun,192,2
278,5M. Janvier,190,-
279,97D. Kuzmanov,190,-
280,-3S. Travaglia,190,-
281,-21F. Maestrelli,189,-
282,-4I. Simakin,188,-
283,-4A. Mayo,188,-
284,1M. Erhard,187,3
285,-4R. Bertola,187,2
286,-13P. Cachin,186,-
287,11M. Mmoh,186,-
288,-6J. Monday,186,-
289,30P. Zahraj,186,-
290,7G. Blancaneaux,184,-
291,76J. Sels,183,-
292,-12M. Alves,181,2
293,-5L. Riedi,180,-
294,-2M. Dodig,179,-
295,-2M. Poljicak,179,2
296,M. Klizan,177,-
297,23C. Negritu,177,1
298,-4J. Clarke,177,1
299,-4B. Ellis,177,4
300,-9R. Berankis,175,-
301,-12M. Guinard,174,-
302,-12J. Prado Angelo,174,-
303,-2M. Geerts,174,4
304,-1N. Alvarez Varona,173,2
305,-19A. Gea,173,-
306,-7N. Budkov Kjaer,172,-
307,47L. Midon,172,3
308,-2O. Ovcharenko,170,1
309,-2J. Schwaerzler,170,-
310,-6S. Rodriguez Taverna,170,-
311,-6C. Broom,169,-
312,34L. Pavlovic,168,-
313,-26J. Cui,168,-
314,-5E. Dalla Valle,168,-
315,-5J. Berrettini,167,-
316,-16E. Kirkin,167,-
317,-5M. Brunold,166,1
318,-5I. Gakhov,166,3
319,-3A. Vatutin,164,2
320,-5O. Prihodko,163,-
321,-3D. Dutra da Silva,162,-
322,1M. Cressy,161,-
323,-47R. Molleker,161,-
324,1G. Olivieri,160,-
325,2K. Coppejans,159,-
326,7C. Langmo,159,2
327,3C. Denolly,159,-
328,66G. Zeppieri,158,-
329,-8B. Lock,158,-
330,35R. Sakamoto,157,-
331,-5E. Coulibaly,157,-
332,-8G. Elias,157,-
333,-5A. Martin,156,-
334,-23B. Zapata Miralles,156,-
335,-6M. Chazal,156,-
336,1A. Marti Pujolras,156,2
337,29D. Novak,154,-
338,-7M. Imamura,154,-
339,-3M. Rosenkranz,153,1
340,3J. Paul,152,-
341,-19S. Vincent Ruggeri,151,-
342,-3D. Merida,150,-
343,-1D. Schwartzman,149,-
344,-10D. Michalski,148,-
345,13M. Pucinelli De Almeida,148,-
346,-2D. Prizmic,147,-
347,-33G. Mager,146,-
348,-8A. Soriano Barrera,146,-
349,-2N. Sanchez Izquierdo,146,-
350,30M. Cecchinato,145,-
351,-13P. Sakamoto,145,-
352,-1P. Sekulic,144,-
353,-3J. Engel,144,-
354,43M. Topo,144,-
355,-3J. Vesely,144,-
356,-21C. Cretu,143,-
357,-2A. Picchione,143,1
358,-2J. Pinnington Jones,142,-
359,47R. Peniston,141,-
360,31L. Mikrut,141,-
361,T. Kodat,141,-
362,-3N. Nakagawa,140,-
363,-22C. Tabur,139,-
364,19N. Ionel,139,-
365,-5P. Bar Biryukov,138,-
366,2K. Van Wyk,138,3
367,8O. Crawford,137,-
368,2K. Uchida,137,-
369,4Y. Zhou,136,-
370,-1M. Polmans,136,-
371,-7H. Barton,136,-
372,-1S. Kwon,135,-
373,-25R. Olivo,135,-
374,-29P. Henning,134,-
375,-3F. Roncadelli,134,-
376,8V. Sachko,133,-
377,26R. Strombachs,133,-
378,L. Ambrogi,133,-
379,G. Boitan,131,2
380,46J. Reis Da Silva,130,-
381,12G. Fonio,130,-
382,-8G. Hussey,128,-
383,-20S. Kozlov,128,-
384,-27S. Kopp,128,-
385,1A. Ilagan,127,-
386,2P. Llamas Ruiz,126,-
387,2A. Zakharov,126,-
388,45G. Pennaforti,125,-
389,56J. Kubler,124,-
390,21H. Searle,123,-
391,17G. Nanda,122,-
392,42G. Johns,122,-
393,-6M. Dellavedova,122,-
394,5E. Gerasimov,121,-
395,48D. Glinka,121,-
396,-1G. Campana Lee,121,1
397,7A. Lingua Lavallen,120,-
398,9L. Marmousez,120,-
399,-17Z. Kolar,120,-
400,-98F. Bagnis,119,-
401,1N. Gombos,119,-
402,-2R. Nijboer,119,-
403,-2M. Bouzige,119,-
404,-8N. Kuhn,118,-
405,13K. Samrej,118,-
406,-21M. Vrbensky,118,-
407,34A. Fery,117,-
408,-3R. Seggerman,117,-
409,10M. Alcala Gurri,117,2
410,28G. Villanueva,117,2
411,2G. Justo,117,-
412,-3A. Matusevich,116,-
413,29P. Maloney,116,-
414,-16N. Fatic,116,-
415,P. Araujo,116,1
416,-24F. Agamenone,115,-
417,30A. Weis,115,-
